school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
University of Wisconsin-Madison,Wisconsin,Big Ten,2014,"47,284,722","19,370,860","1,577,455",,,"160,291","179,444",,,"4,497,281","749,229",,,,,"769,768","812,464","233,502","238,718","110,977","192,473","778,349","973,309",,"731,820",,,"194,167",,,,,,,,"349,116","757,059",
University of Wisconsin-Madison,Wisconsin,Big Ten,2017,"73,548,410","23,168,473","1,725,172",,,"109,399","191,596",,,"5,798,444","1,068,174",,,,,"794,031","863,797","354,132","404,187","111,780","195,130","1,027,439","1,217,797",,"2,584,626",,,"303,677",,,,,,,,"889,104","791,273",
University of Wisconsin-Madison,Wisconsin,Big Ten,2018,"82,438,850","22,438,795","2,010,050",,,"75,070","224,464",,,"6,271,407","792,022",,,,,"1,020,325","936,159","384,576","314,143","317,786","277,691","693,448","858,559",,"1,860,027",,,"288,347",,,,,,,,"634,627","515,132",
University of Wisconsin-Madison,Wisconsin,Big Ten,2019,"90,769,486","21,701,869","2,070,214",,,"76,672","191,074",,,"6,169,929","864,494",,,,,"1,019,966","980,332","364,578","284,717","256,434","195,422","785,739","948,306",,"2,144,716",,,"355,953",,,,,,,,"642,284","828,547",
University of Wisconsin-Madison,Wisconsin,Big Ten,2020,"87,408,161","19,453,045","984,485",,,"407,611","340,632",,,"5,321,317","896,152",,,,,"915,314","1,115,681","642,564","713,624","293,095","35,806","710,224","947,760",,"2,042,718",,,"706,329",,,,,,,,"554,487","638,845",
"University of Massachusetts, Amherst",Massachusetts,Independent,2017,"3,804,920","890,289","53,443",,,,,,,"821,560",,"220,102","33,149",,,"82,151","30,608","101,310","32,104",,"2,170","120,758","25,777",,,,,,,"39,150",,,,"41,871",,"50,947","49,298",
"University of Massachusetts, Amherst",Massachusetts,Independent,2018,"3,132,656","744,516","95,038",,,,,,,"536,986",,"247,821","49,229",,,"55,810","16,197","71,784","33,904",,"1,648","38,769","10,318",,,,,,,"49,670",,,,"24,507",,"59,620","39,488",
"University of Massachusetts, Amherst",Massachusetts,Independent,2019,"3,608,769","698,975","45,260",,,,,,,"1,017,785",,"222,721","23,374",,,"98,989","42,487","58,836","37,095",,"5,792","113,835","41,735",,,,,,,"101,510",,,,"24,395",,"50,115","29,356",
"University of Massachusetts, Amherst",Massachusetts,Independent,2020,"4,596,837","593,495","39,715",,,,,,,"1,156,655",,"184,150","7,873",,,"53,255","12,997","36,181","26,522",,905,"70,114","41,327",,,,,,,"68,329",,,,"3,043",,"28,406","37,585",
"University of California, Los Angeles",UCLA,Pac-12,2017,"39,953,277","13,416,856","933,382",,,"353,904","487,930",,"1,330,262",,,,,,,"328,976","584,874",,"524,058","643,787","576,591","918,388","752,772","286,249","628,637","137,254","392,132",,,"796,136","193,276",,,,,"209,358","694,680",
"University of California, Los Angeles",UCLA,Pac-12,2018,"32,522,515","17,282,671","2,357,201",,,"229,083","244,615",,"1,094,309",,,,,,,"292,571","580,216",,"235,273","554,041","383,457","426,505","59,125","614,054","424,054","227,329","113,044",,,"1,042,883","140,153",,,,,"103,332","528,383",
"University of California, Los Angeles",UCLA,Pac-12,2019,"41,288,698","11,959,355","1,009,216",,,"229,332","286,246",,"1,305,227",,,,,,,"281,421","572,682",,"345,511","933,183","706,344","230,530","221,538","505,075","438,831","309,328","176,432",,,"1,188,767","407,732",,,,,"114,914","592,599",
"University of California, Los Angeles",UCLA,Pac-12,2020,"37,548,589","11,036,276","902,912",,,"167,299","168,865",,"991,693",,,,,,,"295,441","580,374",,"208,433","789,799","396,526","197,018","199,666","427,186","452,742","388,003","25,257",,,"774,916","221,156",,,,,"146,435","572,308",
Arizona State University,Arizona State,Pac-12,2017,"43,366,137","7,824,138","932,958",,,"272,826","286,121",,"217,991","3,394,463",,,"60,110",,,,"192,114","242,667","246,886","522,582","140,981","329,846","255,198",,,,,,,"1,322,258","127,636",,,,,,"588,549","276,308"
Arizona State University,Arizona State,Pac-12,2018,"50,129,246","8,747,454","1,015,150",,,"554,108","544,550",,"260,590","3,018,907",,,"214,640",,,,"197,936","188,940","188,964","570,423","159,799","311,615","321,465",,,,,,,"1,073,727","114,003",,,,,,"956,594","268,736"
Arizona State University,Arizona State,Pac-12,2019,"50,167,921","10,792,282","1,121,420",,,"1,637,504","1,449,704",,"276,117","3,380,117",,,"264,342",,,,"216,253","182,295","182,842","332,096","178,145","331,381","358,628",,,,,,,"3,361,839","118,893",,,,,,"1,008,720","269,476"
Arizona State University,Arizona State,Pac-12,2020,"54,244,347","9,921,130","855,447",,,"486,887","373,180",,"303,535","2,901,173",,,"204,458",,,,"149,233","128,310","124,134","182,988","126,038","232,699","237,272",,,,,,,"1,580,309","79,184",,,,,,"1,053,264","185,043"
University of Houston,Houston,AAC,2017,"12,078,619","998,284","41,419",,,"164,967","84,703",,,,,,,,,,"13,413",,"12,969",,"262,036","69,908","69,143",,"14,202",,,,,"979,306",,,,,,,"272,385",
University of Houston,Houston,AAC,2018,"6,304,916","497,167","25,290",,,"114,935","54,438",,,,,,,,,,"20,835",,"2,025",,575,"92,474","13,000",,"14,485",,,,,"688,528",,,,,,,"646,283",
University of Houston,Houston,AAC,2019,"4,976,383","1,532,525","79,511",,,"107,195","54,872",,,,,,,,,,"31,224",,"7,641",,"25,750","92,790","92,025",,"33,074",,,,,"1,391,812",,,,,,,"672,190",
University of Houston,Houston,AAC,2020,"4,163,393","1,606,904","79,244",,,"139,964","37,951",,,,,,,,,,"28,923",,"58,717",,"1,000","119,246","93,829",,"49,523",,,,,"427,256",,,,,,,"214,497",
Oregon State University,Oregon State,Pac-12,2008,"31,867,028","3,397,974","193,846",,,"88,531","16,874",,"232,053",,,,,,,"173,401","126,928",,"13,780",,,,"20,496",,"267,594",,,"320,990",,"1,202,023",,,,,,"18,104","216,192",
Oregon State University,Oregon State,Pac-12,2009,"30,874,060","4,285,443","217,732",,,"44,702","15,760",,"246,474",,,,,,,"11,078","116,051",,"19,968",,,,"4,150",,"248,939",,,"369,561",,"1,217,807",,,,,,"58,281","240,783",
Oregon State University,Oregon State,Pac-12,2010,"19,056,237","4,447,456","207,728",,,"42,633","15,105",,"307,269",,,,,,,"174,844","181,330",,"18,450",,,,"13,785",,"340,641",,,"261,912",,"1,214,022",,,,,,"17,854","209,911",
Oregon State University,Oregon State,Pac-12,2011,"21,690,794","4,499,464","817,264",,,"147,933","179,060",,"592,683",,,,,,,"368,796","333,115",,"166,521",,,,"170,152",,"727,569",,,"557,191",,"2,032,575",,,,,,"325,803","595,775",
Oregon State University,Oregon State,Pac-12,2013,"30,555,875","6,451,813","1,047,012",,,"223,235","194,180",,"685,109",,,,,,,"375,269","396,414",,"172,763",,,,"304,511",,"495,993",,,"599,330",,"1,903,152",,,,,,"668,383","282,297",
Oregon State University,Oregon State,Pac-12,2015,"30,996,475","5,385,405","727,571",,,"74,767","16,530",,"310,111",,,,,,,"122,645","87,211",,"22,766",,,,"44,662",,"334,106",,,"328,259",,"1,720,604",,,,,,"231,299","115,860",
Oregon State University,Oregon State,Pac-12,2016,"32,941,918","5,834,462","861,432",,,"105,358","25,638",,"435,740",,,,,,,"141,459","108,548",,"9,970",,,0,"60,155",,"317,767",,,"256,748",,"1,638,938",,,,,,"281,228","93,351",
Oregon State University,Oregon State,Pac-12,2017,"35,534,982","6,153,084","961,289",,,"112,480","13,786",,"611,200",,,,,,,"157,235","73,650",,"11,394",,,,"36,394",,"327,500",,,"214,296",,"2,289,909",,,,,,"38,172","62,853",
Oregon State University,Oregon State,Pac-12,2018,"34,646,701","6,937,473","1,106,347",,,"55,405","8,608",,"572,320",,,,,,,"116,293","67,578",,"10,247",,,,"29,762",,"330,601",,,"245,044",,"2,505,621",,,,,,"320,380","87,245",
Oregon State University,Oregon State,Pac-12,2019,"37,454,465","6,886,495","1,204,777",,,"46,856","14,370",,"584,985",,,,,,,"206,278","106,419",,"39,234",,,,"63,840",,"265,053",,,"177,485",,"2,514,745",,,,,,"125,964","70,819",
Oregon State University,Oregon State,Pac-12,2020,"35,619,475","6,613,500","1,237,413",,,"29,341","95,450",,"148,803",,,,,,,"44,512","24,367",,,,,,"19,655",,"177,140",,,"108,016",,"632,381",,,,,,"79,667","22,944",
East Carolina University,East Carolina,AAC,2015,"8,171,291","768,992","79,185",,,"1,150","51,600",,,,,,,,,,"8,547","1,763","1,847","1,150","1,150","3,945","3,945",,"8,980",,,,,"350,048",,,,,,,"18,893",
East Carolina University,East Carolina,AAC,2016,"7,864,593","704,133","71,823",,,"14,000","42,988",,,,,,,,,,"10,156","1,663","1,663","2,000","1,150","3,125","3,325",,"9,498",,,,,"431,537",,,,,,,"16,045",
East Carolina University,East Carolina,AAC,2017,"8,365,180","731,739","97,907",,,"36,513","109,434",,,,,,,,,,"66,136","43,842","43,842","20,104","26,067","49,449","50,119",,"39,867",,,,,"574,570",,,,,,,"120,177",
East Carolina University,East Carolina,AAC,2018,"6,819,167","523,561","110,638",,,"29,765","59,971",,,,,,"66,970",,,,"50,806","25,500","25,500","27,000","26,399","45,625","47,725",,"39,674",,,,,"736,956",,,,,,,"108,692",
East Carolina University,East Carolina,AAC,2019,"8,619,319","845,730","168,855",,,"39,750","16,400",,,,,,"83,053",,,,"46,121","18,281","18,281","25,000","25,560","47,647","50,409",,"34,614",,,,,"926,842",,,,,,,"93,210",
East Carolina University,East Carolina,AAC,2020,"6,941,007","815,065","304,156",,,"36,075","13,425",,,,,,"60,066",,,,"55,054","18,083","18,083","24,990","25,040","44,815","49,375",,"31,521",,,,,"270,449",,,,,,,"328,128",
Clemson University,Clemson,ACC,2017,"52,271,581","11,293,167","1,415,660",,,"254,380","303,476",,,,,,,,,"974,784","1,012,822",,"621,651","426,187","549,448","1,124,870","1,376,246",,"889,274",,,,,"2,054,955",,,,,,"1,444,470",,
Clemson University,Clemson,ACC,2018,"53,865,278","11,461,708","1,510,779",,,"315,400","372,508",,,,,,,,,"878,859","1,052,440",,"373,569","391,028","578,624","1,132,535","1,371,997",,"1,060,982",,,,,"2,145,294",,,,,,"1,287,427",,
Clemson University,Clemson,ACC,2019,"62,631,188","10,100,379","1,331,289",,,"341,777","502,443",,,,,,,,,"950,144","1,107,185",,"173,543","492,030","524,039","1,304,023","1,505,389",,"1,074,068",,,,,"2,079,599",,,,,,"1,463,561","508,906",
Virginia Commonwealth University,VCU,Atlantic 10,2017,,"8,503,292","57,359",,,"29,918",,,,,,,"10,690",,,"34,341","4,685",,,"16,562",500,271,271,,"5,251",,,,,"63,105",,,,,,,,
Virginia Commonwealth University,VCU,Atlantic 10,2018,,"9,343,204","12,522",,,"20,996",,,,,,,"28,302",,,"19,712","44,503",,,"16,892",,"6,500","9,190",,"15,235",,,,,"53,474",,,,564,,,,
Virginia Commonwealth University,VCU,Atlantic 10,2019,,"9,027,839","33,848",,,"20,600",,,,,,,"41,225",,,"5,369","7,844",,,"31,000","19,900","18,421",421,,"10,523",,,,,"58,193",,,,"5,000",,,,
"University of Nevada, Reno",Nevada,Mountain West,2015,"7,838,911","3,110,976","1,297,124",,,"73,443","148,242",,,,,,,,,,"383,169",,"48,925","29,309","66,550",,"87,309",,"112,633",,,,,"521,095",,,,,,,"302,744",
"University of Nevada, Reno",Nevada,Mountain West,2016,"9,893,509","4,721,760","355,775",,,"45,640","121,565",,,,,,,,,,"358,490",,"73,530","15,860","54,725",,"62,300",,"107,320",,,,,"415,375",,,,,,,"321,525",
"University of Nevada, Reno",Nevada,Mountain West,2017,"10,283,871","5,930,920","590,456",,,"178,000","148,809",,,,,,,,,,"475,702",,"161,616","95,730","118,632",,"255,773",,"208,887",,,,,"515,398",,,,,,,"435,097",
"University of Nevada, Reno",Nevada,Mountain West,2018,"8,763,159","4,181,342","736,826",,,"243,570","382,622",,,,,,,,,,"360,021",,"138,408","75,556","68,173",,"205,326",,"76,957",,,,,"505,365",,,,,,,"365,362",
"University of Nevada, Reno",Nevada,Mountain West,2019,"11,305,543","8,539,770","776,579",,,"165,184","201,413",,,,,,,,,,"598,999",,"319,718","142,512","163,133",0,"525,941",,"237,497",,,,,"712,788",,,,,,,"577,097",
"University of Nevada, Reno",Nevada,Mountain West,2020,"9,156,792","7,601,863","890,288",,,"190,025","213,189",,,,,,,,,,"310,374",,"354,025","100,795","203,975","41,244","510,988",,"266,942",,,,,"643,716",,,,,,,"279,459",
"California State University, Fresno",Fresno State,Mountain West,2017,"12,350,206","2,240,181","781,194",,,"152,988","229,885",,,,,,"460,080",,,,"414,930",,"838,803","162,452","295,299","908,971","1,374,586",,"429,981",,"124,127","317,782",,"642,267",,,"268,347",,,,"569,148",
"California State University, Fresno",Fresno State,Mountain West,2018,"16,140,080","2,148,486","729,390",,,"167,907","264,844",,,,,,"485,977",,,,"457,346",,"501,830","204,664","297,855","66,158","658,675",,"458,562",,"402,852","534,321",,"675,551",,,"384,027",,,,"748,080",
"California State University, Fresno",Fresno State,Mountain West,2019,"15,329,561","2,133,984","877,108",,,"146,779","244,351",,,,,,"431,908",,,,"424,543",,"525,870","162,528","225,985","71,582","693,388",,"512,521",,"473,415","588,827",,"669,446",,,"481,387",,,,"648,469",
"California State University, Fresno",Fresno State,Mountain West,2020,"13,006,078","1,494,822","457,718",,,"86,753","129,649",,,,,,"241,141",,,,"193,418",,"520,766","121,494","125,389","41,520","312,014",,"291,916",,"388,675","650,322",,"507,013",,,"267,132",,,,"318,593",
University of Wyoming,Wyoming,Mountain West,2017,"13,133,783","3,508,683","1,539,792",,,"330,342","321,223",,,,,,,,,,"515,028","450,325","610,634",,"312,673","435,245","605,468",,"640,910",,,"662,744",,,,,,,,,,
University of Wyoming,Wyoming,Mountain West,2018,"13,481,961","3,272,528","1,735,094",,,"344,328","262,644",,,,,,,,,,"719,042","428,741","570,579",,"518,552","547,921","777,770",,"665,508",,,"733,836",,,,,,,,,,
University of Wyoming,Wyoming,Mountain West,2019,"12,458,374","3,134,136","1,608,500",,,"446,370","473,963",,,,,,,,,,"792,298","483,462","682,797",,"425,277","636,798","805,197",,"726,195",,,"802,395",,,,,,,,,,
University of Wyoming,Wyoming,Mountain West,2020,"11,308,048","2,205,914","1,317,413",,,"338,411","322,081",,,,,,,,,,"685,101","360,218","481,533",,"437,536","445,536","591,031",,"662,461",,,"615,771",,,,,,,,,,
University of Georgia,Georgia,SEC,2015,"86,719,115","9,029,690","1,012,157",,,"232,838","222,032",,"1,256,709",,,,,,,,"213,483","226,307","226,306","220,418","220,265","844,315","422,244",,"214,103",,,,,"616,515",,,"218,743",,,,"225,428",
University of Georgia,Georgia,SEC,2016,"87,613,126","9,104,434","901,135",,,"224,505","205,955",,"1,172,889",,,,,,,,"207,857","238,834","238,833","216,178","215,164","621,424","620,989",,"209,075",,,,,"592,123",,,"215,032",,,,"219,339",
University of Georgia,Georgia,SEC,2017,"93,335,288","9,459,251","860,481",,,"72,901","70,814",,"1,101,665",,,,,,,,"62,752","105,063","105,063","255,467","255,970","183,690","184,550",,"65,569",,,,,"450,603",,,"62,742",,,,"62,100",
University of Georgia,Georgia,SEC,2018,"129,023,591","10,252,418","1,132,276",,,"810,791","814,546",,"1,372,068",,,,,,,,"685,603","114,806","114,805","78,290","79,328","246,077","246,077",,"76,111",,,,,"1,734,718",,,"74,229",,,,"109,737",
University of Georgia,Georgia,SEC,2019,"123,073,722","10,693,803","1,110,865",,,"101,140","100,418",,"1,507,302",,,,,,,,"85,459","186,175","186,176","89,928","89,751","248,542","248,541",,"120,358",,,,,"1,776,267",,,"91,103",,,,"81,455",
U.S. Naval Academy,Navy,AAC,2015,"28,358,556","1,415,131","235,444",,,"64,374","35,454","238,371",,,,"1,549,696","376,687",,,"434,312","341,228","434,139","93,589","103,800","107,143","352,608","273,768",,"314,038","163,424",,,,"454,043",,,,,,"281,140",,
U.S. Naval Academy,Navy,AAC,2018,"17,281,265","625,799","216,668",,,"88,673","62,520","369,982",,,,"1,080,031","509,522",,,"442,956","270,420","563,074","350,291","94,194","144,156","307,814","527,400",,"244,253","156,611",,,,"489,991",,,,,,"220,463",,
"University at Buffalo, the State University",Buffalo,MAC,2017,"7,796,407","2,219,871","1,534,650",,,,,,,,,,,,,"1,015,357","829,668","694,850","795,246","400,720","566,717","534,264","859,314",,"783,529",,,"607,047",,"1,148,119",,,,,,"937,733","766,342",
"University at Buffalo, the State University",Buffalo,MAC,2018,"8,738,891","3,213,677","2,065,328",,,,,,,,,,,,,"74,019","945,762","62,809","993,212","444,940","684,024","530,048","935,389",,"948,949",,,"687,560",,"49,861",,,,,,"267,829","910,791",
"University at Buffalo, the State University",Buffalo,MAC,2019,"9,724,780","3,796,710","2,420,985",,,,,,,,,,,,,"31,370","999,474",,"944,474","493,093","655,750","556,713","917,501",,"956,945",,,"811,259",,608,,,,,,"108,512","919,765",
"University at Buffalo, the State University",Buffalo,MAC,2020,"10,392,890","3,019,576","2,376,546",,,,,,,,,,,,,"30,000","1,027,628",,"1,091,325","476,122","655,428","521,945","883,419",,"987,854",,,"727,426",,,,,,,,"73,706","883,312",
University of Utah,Utah,Pac-12,2017,"54,252,319","9,315,251","484,150",,,"114,732",,,"820,575",,,,,"56,648","63,090",,"389,599","126,417","193,814","102,467","148,204",,"193,677",,"344,809",,,,,"475,814","1,500",,,,,,"255,006",
University of Utah,Utah,Pac-12,2018,"60,188,910","10,576,165","529,625",,,"181,890",,,"964,582",,,,,"109,424","53,332",,"403,876","231,641","273,638","232,021","138,384",,"194,225",,"390,942",,,,,"444,910","2,000",,,,,,"266,667",
University of Utah,Utah,Pac-12,2019,"65,696,293","10,744,981","501,295",,,"182,746",,,"1,135,257",,,"1,088,968",,"96,526","63,790",,"404,918","183,390","264,484","279,082","99,983",,"221,600",,"449,097",,,,,"446,083",0,,,,,,"270,766",
University of Utah,Utah,Pac-12,2020,"65,602,200","9,257,116","263,828",,,"498,407",,,"1,028,713",,,"1,108,941",,"102,109","49,096",,"260,932","85,930","157,380","188,925","154,177",,"211,315",,"432,682",,,,,"421,373",0,,,,,,"213,686",
University of South Florida,South Florida,AAC,2017,"15,588,748","5,249,671","1,017,932",,,"323,178","401,526",,,,,,,,,"912,891","1,138,723",,,"312,262","418,327","1,759,386","4,467,858",,"687,032",,,,,"1,273,081",,,,,,,"950,737",
University of South Florida,South Florida,AAC,2018,"13,419,356","4,708,995","1,218,398",,,"408,490","571,122",,,,,,,,,"1,190,333","1,306,298",,,"372,813","529,198","1,209,983","2,705,152",,"826,492",,,,,"1,576,253",,,,,,,"1,176,938",
University of South Florida,South Florida,AAC,2019,"8,096,577","2,855,922","593,608",,,"107,100","118,589",,,,,,,,,"165,293","164,304",,,"78,354","75,782","78,586","166,995",,"115,706",,,,,"241,266",,,,,,,"292,879",
University of South Florida,South Florida,AAC,2020,"9,459,443","2,453,405","732,185",,,"59,255","81,247",,,,,,,,,"150,714","191,210",,,"66,300","68,250","48,596","112,697",,"79,438",,,,,"173,819",,,,,,,"224,911",
University of Iowa,Iowa,Big Ten,2017,"58,835,965","10,007,864","912,427",,,"219,070","114,949","64,000","206,884",,,,,,,,"149,164","207,682","197,076","90,833","29,737","356,291","126,513",,"201,177",,,"1,226,496",,"1,156,272",,,,"70,358",,"89,972","677,124",
University of Iowa,Iowa,Big Ten,2018,"76,113,197","11,128,406","1,469,044",,,"133,157","75,846","44,592","188,814",,,,,,,,"199,140","160,748","147,829","109,839","36,098","325,938","143,687",,"255,233",,,"1,617,488",,"616,953",,,,"71,202",,"99,504","283,389",
University of Iowa,Iowa,Big Ten,2019,"81,981,560","12,463,007","1,645,981",,,"97,595","75,634","76,813","174,225",,,,,,,,"255,207","192,124","131,428","158,978","65,546","268,446","182,414",,"243,004",,,"1,108,851",,"455,339",,,,"83,098",,"112,155","476,199",
University of Iowa,Iowa,Big Ten,2020,"81,571,937","11,463,105","1,033,613",,,"124,758","136,892","38,996","84,547",,,,,,,,"140,612","98,614","103,699","83,477","43,248","318,864","107,861",,"179,654",,,"1,802,531",,"237,183",,,,"65,976",,"81,692","423,027",
Mississippi State University,Mississippi State,SEC,2018,"29,753,691","7,066,124","958,494",,,"2,475","2,475",,,,,,,,,,"68,074",,,"37,891","15,141","25,313","14,809",,"25,147",,,,,"1,186,577",,,,,,,"114,321",
Mississippi State University,Mississippi State,SEC,2019,"38,035,088","8,030,614","998,399",,,"2,925","2,925",,,,,,,,,,"76,213",,,"28,472","17,300","14,021","12,127",,"86,518",,,,,"2,506,922",,,,,,,"171,184",
Mississippi State University,Mississippi State,SEC,2020,"39,962,124","6,026,827","1,716,160",,,"5,844","46,744",,,,,,,,,,"39,758",,,806,,881,,,"17,916",,,,,"870,391",,,,,,,"91,535",
University of Texas at San Antonio,UTSA,C-USA,2017,"5,827,826","495,936","196,165",,,"21,339","37,533",,,,,,,,,,"105,342",,,"23,720","1,350","24,410","22,974",,"121,966",,,,,"269,649",,,,,,,"56,350",
University of Texas at San Antonio,UTSA,C-USA,2018,"6,168,703","717,772","192,031",,,"47,271","93,694",,,,,,,,,,"87,094",,,"13,747","16,879","61,175","62,915",,"150,777",,,,,"197,331",,,,,,,"76,840",
University of Texas at San Antonio,UTSA,C-USA,2019,"7,347,629","632,764","200,171",,,"98,102","60,717",,,,,,,,,,"119,930",,,"45,953","6,948","69,855","70,103",,"158,743",,,,,"200,501",,,,,,,"116,532",
Western Kentucky University,Western Kentucky,C-USA,2018,"9,526,493","3,361,215","1,813,765",,,"249,735","306,981",,,,,,,,,,"1,014,018",,,,"411,367","593,793","514,182",,"993,806",,,,,"1,294,275",,,,,,,"716,779",
Western Kentucky University,Western Kentucky,C-USA,2019,"8,607,897","3,622,159","1,705,943",,,"322,220","328,790",,,,,,,,,,"831,468",,,,"379,999","629,260","494,071",,"1,002,669",,,,,"1,221,289",,,,,,,"794,006",
Western Kentucky University,Western Kentucky,C-USA,2020,"9,985,367","3,185,861","1,545,352",,,"221,277","311,398",,,,,,,,,,"862,728",,,,"372,233","410,820","412,177",,"931,026",,,,,"1,081,246",,,,,,,"749,319",
"University of Tennessee, Knoxville",Tennessee,SEC,2017,"100,863,228","14,871,416","3,984,438",,,"54,527","99,067",,,,,,,,,,"132,836","130,142","155,691","43,794","54,363","57,436","105,112",,"168,368",,,,,"684,822",,,,,,"116,219","1,010,794",
"University of Tennessee, Knoxville",Tennessee,SEC,2018,"98,294,022","16,079,926","3,983,293",,,"66,331","118,995",,,,,,,,,,"171,414","213,690","207,397","52,369","72,543","81,396","104,531",,"317,572",,,,,"823,885",,,,,,"138,747","768,142",
"University of Tennessee, Knoxville",Tennessee,SEC,2019,"96,112,425","17,600,763","3,589,701",,,"99,960","129,891",,,,,,,,,,"194,108","221,335","216,984","70,707","71,138","94,203","111,950",,"382,715",,,,,"1,227,700",,,,,,"119,202","786,395",
"University of Tennessee, Knoxville",Tennessee,SEC,2020,"92,913,092","17,318,852","3,332,175",,,"105,458","145,680",,,,,,,,,,"158,800","198,049","194,509","51,019","61,517","84,384","104,632",,"315,575",,,,,"633,653",,,,,,"118,797","386,554",
University of Cincinnati,Cincinnati,AAC,2018,"9,582,426","5,182,530","71,030",,,"80,379","131,617",,,,,,"310,465",,,"137,106","120,052","148,867","187,879",,"129,233","237,226","203,493",,"92,839",,,,,"259,449",,,,,,,,
University of Cincinnati,Cincinnati,AAC,2019,"8,242,558","7,137,270","201,240",,,"112,063","104,037",,,,,,"261,156",,,"181,247","84,358","193,488","210,397",,"155,969","166,347","174,761",,"232,234",,,,,"472,743",,,,,,,,
University of Cincinnati,Cincinnati,AAC,2020,"10,390,063","4,158,727","242,700",,,"113,664","69,302",,,,,,"248,153",,,"198,179","100,017","242,253","163,703",,"149,736","181,921","192,353",,"254,699",,,,,"342,363",,,,,,,,
University of Louisville,Louisville,ACC,2018,"43,649,768","43,470,160","1,610,281",,,"219,800","127,830",,,,,,"2,086",,,"116,769","55,341","42,603","42,603","42,029","4,550","90,181","103,812",,"203,764",,,,,"434,040",,,,"84,565",,"8,710","27,775",
University of Louisville,Louisville,ACC,2019,"49,827,710","42,759,248","1,548,934",,,"191,216","193,615",,,,,,"24,445",,,"113,647","54,150","36,262","36,262","33,085","2,100","28,089","28,089",,"138,348",,,,,"914,859",,,,"48,168",,"15,792","63,652",
University of Louisville,Louisville,ACC,2020,"48,923,931","40,684,042","1,493,218",,,"88,640","144,730",,,,,,"2,250",,,"159,420","53,867",0,"31,300","27,770","2,100",0,"17,500",,"230,986",,,,,"238,645",,,,"23,142",,"5,196","41,950",
University of Michigan,Michigan,Big Ten,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,Michigan,Big Ten,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,Michigan,Big Ten,2020,"125,773,306","17,759,785","403,614",,,"114,924","56,069","104,119","142,271","3,091,104",,"242,025","51,652",,,"114,380","84,193","315,128","90,208","48,595","77,589","103,012","167,029",,,,,,,"398,916",,,,"92,683",,"83,786","174,280",
University of Alabama,Alabama,SEC,2018,"111,102,135","15,298,808","998,402",,,"368,213","414,041",,"1,161,784",,,,,,,,"829,075","96,138","782,860","107,470","484,361","232,337","1,120,364",,"696,957",,,,,"1,195,265",,,,,,"1,077,403","1,188,271",
"University of Minnesota, Twin Cities",Minnesota,Big Ten,2017,"55,686,935","14,172,047","873,843",,,"47,936","45,197","42,294","58,288","5,872,920","389,769",,,,,,"33,374","49,953","74,894","6,511","11,392","29,260","24,101",,"485,157",,,"197,345",,"415,408",,,,,,"45,454","98,003",
"University of Minnesota, Twin Cities",Minnesota,Big Ten,2018,"61,561,972","17,454,711","584,434",,,"131,413","34,458","17,710","57,203","5,703,800","184,063",,,,,,"162,889","67,926","20,254","24,931","26,028","28,933","50,641",,"492,971",,,"126,653",,"974,244",,,,,,"239,389","129,838",
"University of Minnesota, Twin Cities",Minnesota,Big Ten,2019,"62,922,970","18,808,666","1,089,358",,,"79,057","48,864","40,594","56,322","5,613,408","357,235",,,,,,"75,535","81,282","89,195","49,774","25,804","302,649","278,368",,"737,064",,,"323,997",,"495,341",,,,,,"186,945","177,508",
"University of Minnesota, Twin Cities",Minnesota,Big Ten,2020,"61,719,121","14,768,977","645,266",,,"62,967","34,581","55,018","52,985","4,911,320","209,820",,,,,,"28,377","25,617","42,036","28,084","24,504","225,415","212,898",,"806,663",,,"238,227",,"554,838",,,,,,"224,085","189,260",
"University of Hawaii, Manoa",Hawaii,Mountain West,2019,"9,959,116","2,073,659","1,179,791",,,"356,565","383,179",,,,,,,,,,"733,089","436,319","809,840","214,068","405,835",,"936,676","927,243","1,670,470",,"472,957",,,"983,589","395,379",,,,,,"620,278",
"University of Hawaii, Manoa",Hawaii,Mountain West,2020,"12,401,227","2,014,118","1,038,067",,,"358,914","327,798",,,,,,,,,,"640,527","501,057","694,453","206,834","395,067",,"834,759","815,516","1,839,458",,"336,802",,,"779,846","263,242",,,,,,"511,962",
Georgia Southern University,Georgia Southern,Sun Belt,2017,"4,192,079","600,055","116,871",,,"49,453","31,241",,,,,,,,,"30,182","48,783",,"38,240","19,525","15,457",,"586,601",,"66,943",,,,,"268,093",,,,,,,"59,264",
