school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
Miami University (Ohio),Miami (Ohio),MAC,2021,"7,293,116","1,634,566","1,320,393",,,"407,045",,,,"2,233,949",,,,,,,"880,512","614,703","720,169",,"500,633","718,729","1,037,978",,"906,374",,,,,"1,044,830",,,,"975,899",,,"868,805",
Texas Tech University,Texas Tech,Big 12,2021,"38,212,809","12,375,059","1,331,802",,,"206,128","168,780",,,,,,,,,,"328,765",,,"141,702","166,603","609,390","531,676",,"291,657",,,,,"1,945,473",,,,,,,"286,086",
"University of Minnesota, Twin Cities",Minnesota,Big Ten,2021,"45,125,727","12,057,790","94,394",,,"100,391","94,047","18,173","44,210","734,930","35,178",,,,,,"57,509","21,740","20,790","72,336","34,805","118,398","120,426",,"178,579",,,"76,230",,"168,203",,,,,,"203,736","73,355",
Florida Atlantic University,FAU,C-USA,2021,"2,424,177","147,004","52,278",,,"22,968","25,179",,,,,,,,,"10,947","17,852","4,214","3,744","12,087","6,805","1,750","5,552",,"8,050",,,,,"83,281","18,635",,,,,,"9,120",
University of Louisville,Louisville,ACC,2021,"35,704,235","15,280,622","712,366",,,"158,044","258,310",,,,,,850,,,"26,031","5,791",0,"29,530","5,000","5,000",0,"1,760",,"18,487",,,,,"162,418",,,,"9,155",,100,"37,954",
Florida State University,Florida State,ACC,2021,"57,440,441","12,617,804","847,474",,,"868,016","640,659",,,,,,,,,,"474,193","349,230","400,238","372,173","346,596","593,793","630,151",,"355,271",,,,,"2,758,906","371,941",,,,,,"685,281",
Marshall University,Marshall,C-USA,2021,"8,414,817","1,670,730","955,594",,,"114,805","230,293",,,,,,,,,"328,437","635,290",,"603,778",,"356,772","85,705","765,477",,"588,386",,,,,"435,916",,,,,,,"813,805",
"University of Hawaii, Manoa",Hawaii,Mountain West,2021,"8,229,832","680,136","730,086",,,"176,381","319,721",,,,,,,,,,"609,880","352,486","631,315","238,557","493,534",,"774,802","558,752","543,765",,"431,480",,,"838,387","311,677",,,,,,"586,379",
University of Michigan,Michigan,Big Ten,2021,"37,049,086","11,386,430","262,160",,,"79,333","94,719","108,508","153,852","737,436",,"130,185","65,853",,,"70,723","64,088","181,485","103,840","57,761","92,834","110,435","188,731",,,,,,,"437,949",,,,"135,403",,"122,173","283,923",
University of Akron,Akron,MAC,2021,"63,733","68,848","14,940",,,,"19,981",,,,,,"18,808",,,"95,025","5,644",,"24,286",,,"52,385",560,,"12,644",,,,,"134,678",,,,,,,"3,404",
Boise State University,Boise State,Mountain West,2021,"11,050,897","2,363,054","786,280",,,"343,836","409,727",,"465,288",,,,,,,,"409,373",,"265,022","178,897","282,852","450,621","526,208",,"471,399",,,,,"228,232","256,079",,,,,,"696,256",
University of Cincinnati,Cincinnati,AAC,2021,"9,104,422","1,293,342","259,036",,,"91,962","73,957",,,,,,"234,335",,,,"64,436","206,373","165,977",,"141,493","137,895","148,361",,"278,027",,,,,"183,346",,,,,,,,
"University of Tennessee, Knoxville",Tennessee,SEC,2021,"62,405,589","13,884,800","3,243,559",,,"163,920","181,643",,,,,,,,,,"90,428","68,387","69,947","48,565","61,398","85,016","102,763",,"188,163",,,,,"1,847,350",,,,,,"121,681","413,526",
University of Iowa,Iowa,Big Ten,2021,"43,641,627","6,271,882","572,634",,,"296,714","239,929","121,979","54,646",,,,,,,,"1,409,602","177,869","42,432","127,964","44,736","276,701","154,694",,"72,868",,,"753,682",,"275,373",,,,"121,506",,"90,048","171,282",
Arizona State University,Arizona State,Pac-12,2021,"22,602,230","4,505,652","594,883",,,"603,819","511,162",,"368,275","697,426",,,"239,964",,,,"216,595","142,018","149,769","140,098","143,691","294,660","313,055",,,,,,,"1,598,906","90,835",,,,,,"558,128","149,585"
"University of Nevada, Reno",Nevada,Mountain West,2021,"4,160,009","1,908,306","462,098",,,"151,874","105,910",,,,,,,,,,"105,992",,"69,199","26,428","22,732","20,519","70,492",,"76,031",,,,,"219,487",,,,,,,"85,619",
Clemson University,Clemson,ACC,2021,"44,747,085","7,858,633","1,383,269",,,"327,666","478,122",,,,,,,,,"963,325","1,168,852",,,"520,468","634,153","1,303,681","1,650,471",,"998,517",,,,,"1,545,851",,,,,,"1,616,201","1,057,742",
"University of California, Los Angeles",UCLA,Pac-12,2021,"19,349,857","4,926,273","872,969",,,"83,977","62,503",,"234,934",,,,,,,"67,288","152,694",,"52,920","199,343","129,329","64,658","500,657","94,770","114,471","155,543","168,289",,,"345,508","192,898",,,,,"114,563","291,408",
University of Wisconsin-Madison,Wisconsin,Big Ten,2021,"48,564,033","9,831,234","311,234",,,"289,992","106,971",,,"1,195,296","675,605",,,,,"371,947","413,662","280,661","173,261","200,885","362,799","501,318","740,317",,"998,128",,,"283,851",,,,,,,,"388,206","311,580",
University of South Alabama,South Alabama,Sun Belt,2018,"9,429,456","2,195,623","1,527,426",,,"699,882","393,445",,,,,,,,,,"889,608",,,"403,959","471,700","869,166","906,826",,"936,066",,,,,"1,895,277",,,,,,,"1,086,993",
